alpha,Lambda,sigma,Kappa,Kappa_,A,B,m1,m2,E0,E1,E2,E3
0.6,0.1,-3.0,0.4,1.8,1.6,0.2,1.0,1.0,1.628547835806136,2.1243095955356446,2.4692019863288106,2.7810332283507235
0.6,0.1,-3.0,0.4,1.8,1.6,0.22,1.0,1.0,1.628547835806136,2.1243095955356446,2.4692019863288106,2.7810332283507235
0.6,0.1,-3.0,0.4,1.8,1.6,0.24,1.0,1.0,1.628547835806136,2.1243095955356446,2.4692019863288106,2.7810332283507235
0.6,0.1,-3.0,0.4,1.8,1.65,0.2,1.0,1.0,1.6334454338114452,2.126665447290185,2.4708898019942436,2.78242175628745
0.6,0.1,-3.0,0.4,1.8,1.65,0.22,1.0,1.0,1.6334454338114452,2.126665447290185,2.4708898019942436,2.78242175628745
0.6,0.1,-3.0,0.4,1.8,1.65,0.24,1.0,1.0,1.6334454338114452,2.126665447290185,2.4708898019942436,2.78242175628745
0.6,0.1,-3.0,0.4,1.8,1.7,0.2,1.0,1.0,1.6379857795962969,2.128852223730949,2.472446519651916,2.7836926324468143
0.6,0.1,-3.0,0.4,1.8,1.7,0.22,1.0,1.0,1.6379857795962969,2.128852223730949,2.472446519651916,2.7836926324468143
0.6,0.1,-3.0,0.4,1.8,1.7,0.24,1.0,1.0,1.6379857795962969,2.128852223730949,2.472446519651916,2.7836926324468143
0.6,0.1,-3.0,0.4,1.85,1.6,0.2,1.0,1.0,1.6251654060225478,2.123140369239679,2.4684089708595014,2.780386520816773
0.6,0.1,-3.0,0.4,1.85,1.6,0.22,1.0,1.0,1.6251654060225478,2.123140369239679,2.4684089708595014,2.780386520816773
0.6,0.1,-3.0,0.4,1.85,1.6,0.24,1.0,1.0,1.6251654060225478,2.123140369239679,2.4684089708595014,2.780386520816773
0.6,0.1,-3.0,0.4,1.85,1.65,0.2,1.0,1.0,1.6302625781853906,2.125560521581337,2.4701398567783985,2.7818119742931553
0.6,0.1,-3.0,0.4,1.85,1.65,0.22,1.0,1.0,1.6302625781853906,2.125560521581337,2.4701398567783985,2.7818119742931553
0.6,0.1,-3.0,0.4,1.85,1.65,0.24,1.0,1.0,1.6302625781853906,2.125560521581337,2.4701398567783985,2.7818119742931553
